Source_ID,Source_Name,Source_Type,Short_Desc,GEOID,FIPS_Code,Long,Lat,zoneID,County,City,Region
2705300802,Nestle' HealthCare Nutrition Inc Mfg,Permitted facility,Imitation stack for EU004,270530227001.0,53.0,-93.345441,44.961469,27053,HENNEPIN,St. Louis Park,Metro (7 County)
2705300803,Swanson & Youngdale Inc,Permitted facility,Imitation stack for TOTAL (default for SCC '40201699'),270530221011.0,53.0,-93.362449,44.959587,27053,HENNEPIN,St. Louis Park,Metro (7 County)
2705300805,General Mills Inc - Main Office,Permitted facility,Boiler Stack,270530219003.0,53.0,-93.397703,44.976794,27053,HENNEPIN,Golden Valley,Metro (7 County)
2705300805,General Mills Inc - Main Office,Permitted facility,Boiler Stack,270530219003.0,53.0,-93.397703,44.976794,27053,HENNEPIN,Golden Valley,Metro (7 County)
2705300805,General Mills Inc - Main Office,Permitted facility,Boiler Stack,270530219003.0,53.0,-93.397703,44.976794,27053,HENNEPIN,Golden Valley,Metro (7 County)
2705300805,General Mills Inc - Main Office,Permitted facility,Boiler Stack,270530219003.0,53.0,-93.397703,44.976794,27053,HENNEPIN,Golden Valley,Metro (7 County)
2705300805,General Mills Inc - Main Office,Permitted facility,Generator Stack,270530219003.0,53.0,-93.397703,44.976794,27053,HENNEPIN,Golden Valley,Metro (7 County)
2705300805,General Mills Inc - Main Office,Permitted facility,Generator Stack,270530219003.0,53.0,-93.397703,44.976794,27053,HENNEPIN,Golden Valley,Metro (7 County)
2705300805,General Mills Inc - Main Office,Permitted facility,Imitation stack for EU000 (default for SCC 'XXXXXXXX'),270530219003.0,53.0,-93.397703,44.976794,27053,HENNEPIN,Golden Valley,Metro (7 County)
2705300810,North Memorial Medical Center,Permitted facility,Imitation stack for EU001,270530214001.0,53.0,-93.321103,45.014222,27053,HENNEPIN,Robbinsdale,Metro (7 County)
2705300810,North Memorial Medical Center,Permitted facility,Imitation stack for EU002,270530214001.0,53.0,-93.321103,45.014222,27053,HENNEPIN,Robbinsdale,Metro (7 County)
2705300810,North Memorial Medical Center,Permitted facility,Imitation stack for EU003,270530214001.0,53.0,-93.321103,45.014222,27053,HENNEPIN,Robbinsdale,Metro (7 County)
2705300810,North Memorial Medical Center,Permitted facility,Imitation stack for EU004,270530214001.0,53.0,-93.321103,45.014222,27053,HENNEPIN,Robbinsdale,Metro (7 County)
2705300811,Damschen Wood Inc,Permitted facility,Imitation stack for TOTAL (default for SCC '40201699'),270530234005.0,53.0,-93.416285,44.91431,27053,HENNEPIN,Hopkins,Metro (7 County)
2705300812,Orientations Inc - Designer Sign Systems,Permitted facility,Imitation stack for TOTAL (default for SCC '40201699'),270030508131.0,3.0,-93.19404,45.151087,27003,ANOKA,Blaine,Metro (7 County)
2705300813,Target Financial Services,Permitted facility,Imitation stack for EU007,270531051003.0,53.0,-93.326573,44.968685,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300813,Target Financial Services,Permitted facility,Imitation stack for EU011,270531051003.0,53.0,-93.326573,44.968685,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300813,Target Financial Services,Permitted facility,Imitation stack for EU012,270531051003.0,53.0,-93.326573,44.968685,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300813,Target Financial Services,Permitted facility,Imitation stack for EU013 (default for SCC '20300101'),270531051003.0,53.0,-93.326573,44.968685,27053,HENNEPIN,Minneapolis,Metro (7 County)
2705300815,UHG-IT Plymouth,Permitted facility,Imitation stack for EU011,270530265081.0,53.0,-93.409508,45.064022,27053,HENNEPIN,Plymouth,Metro (7 County)
2705300815,UHG-IT Plymouth,Permitted facility,Imitation stack for EU012,270530265081.0,53.0,-93.409508,45.064022,27053,HENNEPIN,Plymouth,Metro (7 County)
2705300816,Johnson/Anderson & Associates Inc,Permitted facility,Imitation stack for EU001,271390803011.0,139.0,-93.456864,44.792046,27139,SCOTT,Shakopee,Metro (7 County)
2705300820,Sierra Corp,Permitted facility,Imitation stack for EU001,270530261031.0,53.0,-93.424736,44.917202,27053,HENNEPIN,Minnetonka,Metro (7 County)
2705300820,Sierra Corp,Permitted facility,Imitation stack for EU002,270530261031.0,53.0,-93.424736,44.917202,27053,HENNEPIN,Minnetonka,Metro (7 County)
2705300821,Ceramic Industrial Coatings,Permitted facility,NA,270530267022.0,53.0,-93.397056,45.111784,27053,HENNEPIN,Osseo,Metro (7 County)
2705300821,Ceramic Industrial Coatings,Permitted facility,NA,270530267022.0,53.0,-93.397056,45.111784,27053,HENNEPIN,Osseo,Metro (7 County)
2705300821,Ceramic Industrial Coatings,Permitted facility,NA,270530267022.0,53.0,-93.397056,45.111784,27053,HENNEPIN,Osseo,Metro (7 County)
2705300821,Ceramic Industrial Coatings,Permitted facility,NA,270530267022.0,53.0,-93.397056,45.111784,27053,HENNEPIN,Osseo,Metro (7 County)
2705300821,Ceramic Industrial Coatings,Permitted facility,NA,270530267022.0,53.0,-93.397056,45.111784,27053,HENNEPIN,Osseo,Metro (7 County)
