Source_ID,Source_Name,Source_Type,GEOID,FIPS_Code,Long,Lat,zoneID,County,City,Region
27011PF1748382-64327,Prescribed burn,Prescribed burn,270119501001.0,11.0,-96.395,45.268,27011,BIG STONE,Otrey,Southwest
27011PF1750849-64327,Prescribed burn,Prescribed burn,270119501001.0,11.0,-96.285,45.249,27011,BIG STONE,Otrey,Southwest
27011PF1751541-64327,Prescribed burn,Prescribed burn,270119501001.0,11.0,-96.342,45.334,27011,BIG STONE,Otrey,Southwest
27011PF1769535-64322,Prescribed burn,Prescribed burn,270119501001.0,11.0,-96.339,45.264,27011,BIG STONE,Otrey,Southwest
27011PF1770800-64322,Prescribed burn,Prescribed burn,270119502001.0,11.0,-96.632,45.576,27011,BIG STONE,Prior,Southwest
27011PF1780043-64321,Prescribed burn,Prescribed burn,270119501001.0,11.0,-96.134,45.307,27011,BIG STONE,Otrey,Southwest
27011PF1782662-64321,Prescribed burn,Prescribed burn,270119501001.0,11.0,-96.332,45.313,27011,BIG STONE,Otrey,Southwest
27011PF1783237-64320,Prescribed burn,Prescribed burn,270119502001.0,11.0,-96.564,45.461,27011,BIG STONE,Prior,Southwest
27011PF1788704-64320,Prescribed burn,Prescribed burn,270119501001.0,11.0,-96.339,45.264,27011,BIG STONE,Otrey,Southwest
27013PF1447575-64328,Prescribed burn,Prescribed burn,270131709002.0,13.0,-94.125,44.132,27013,BLUE EARTH,Judson,Southwest
27013PF1447589-64327,Prescribed burn,Prescribed burn,270131715001.0,13.0,-94.364,44.021,27013,BLUE EARTH,Ceresco,Southwest
27013PF1447656-64327,Prescribed burn,Prescribed burn,270131715003.0,13.0,-94.038,43.971,27013,BLUE EARTH,Lyra,Southwest
27013PF1744107-64328,Prescribed burn,Prescribed burn,270131701001.0,13.0,-93.886,44.199,27013,BLUE EARTH,Le Ray,Southwest
27013PF1791195-64320,Prescribed burn,Prescribed burn,270131714001.0,13.0,-93.991,44.019,27013,BLUE EARTH,Medo,Southwest
27015PF1737182-64328,Prescribed burn,Prescribed burn,270159606001.0,15.0,-95.063,44.163,27015,BROWN,Stately,Southwest
27015PF1788645-64320,Prescribed burn,Prescribed burn,270159607003.0,15.0,-94.726,44.182,27015,BROWN,Mulligan,Southwest
27015PF1788681-64320,Prescribed burn,Prescribed burn,270159606001.0,15.0,-95.063,44.163,27015,BROWN,Stately,Southwest
27015PF1789986-64320,Prescribed burn,Prescribed burn,270159607003.0,15.0,-94.921,44.18,27015,BROWN,Mulligan,Southwest
27015PF1791698-64320,Prescribed burn,Prescribed burn,270159606001.0,15.0,-95.029,44.12,27015,BROWN,Stately,Southwest
27017PF1447639-64327,Prescribed burn,Prescribed burn,270179400001.0,17.0,-92.556,46.724,27017,CARLTON,Perch Lake,Northeast
27017PF1702574-64332,Prescribed burn,Prescribed burn,270170701002.0,17.0,-92.424,46.718,27017,CARLTON,Cloquet,Northeast
27017PF1751473-64327,Prescribed burn,Prescribed burn,270179400003.0,17.0,-92.703,46.684,27017,CARLTON,Perch Lake,Northeast
27017PF1797699-64319,Prescribed burn,Prescribed burn,270170701001.0,17.0,-92.433,46.74,27017,CARLTON,Cloquet,Northeast
27019PF1447629-64327,Prescribed burn,Prescribed burn,270190912011.0,19.0,-93.94,44.725,27019,CARVER,Young America,Metro (7 County)
27019PF1751457-64327,Prescribed burn,Prescribed burn,270190912011.0,19.0,-93.927,44.766,27019,CARVER,Young America,Metro (7 County)
27019PF1792853-64319,Prescribed burn,Prescribed burn,270190901001.0,19.0,-93.883,44.912,27019,CARVER,Watertown,Metro (7 County)
27019PF1793819-64319,Prescribed burn,Prescribed burn,270190902002.0,19.0,-93.946,44.808,27019,CARVER,Camden,Metro (7 County)
27019PF1797289-64319,Prescribed burn,Prescribed burn,270190902002.0,19.0,-93.946,44.808,27019,CARVER,Camden,Metro (7 County)
27019PF1797533-64319,Prescribed burn,Prescribed burn,270190902002.0,19.0,-93.946,44.808,27019,CARVER,Camden,Metro (7 County)
27021PF1447566-64328,Prescribed burn,Prescribed burn,270219400021.0,21.0,-94.053,47.424,27021,CASS,Otter Tail Peninsula,Northwest
27021PF1447695-64327,Prescribed burn,Prescribed burn,270219400021.0,21.0,-94.019,47.248,27021,CASS,Otter Tail Peninsula,Northwest
27021PF1447779-64321,Prescribed burn,Prescribed burn,270219400021.0,21.0,-94.54,47.284,27021,CASS,Otter Tail Peninsula,Northwest
27021PF1615134-64328,Prescribed burn,Prescribed burn,270219400021.0,21.0,-94.219,47.254,27021,CASS,Otter Tail Peninsula,Northwest
27021PF1703879-64332,Prescribed burn,Prescribed burn,270219606003.0,21.0,-94.523,46.902,27021,CASS,Deerfield,Northwest
27021PF1731775-64330,Prescribed burn,Prescribed burn,270219603022.0,21.0,-94.172,46.899,27021,CASS,Woodrow,Northwest
27021PF1744079-64328,Prescribed burn,Prescribed burn,270219602002.0,21.0,-94.187,47.182,27021,CASS,Boy Lake,Northwest
27021PF1753082-64327,Prescribed burn,Prescribed burn,270219400012.0,21.0,-94.604,47.161,27021,CASS,Leech Lake,Northwest
27021PF1790539-64320,Prescribed burn,Prescribed burn,270219606002.0,21.0,-94.462,46.766,27021,CASS,Pine River,Northwest
27023PF1447428-64327,Prescribed burn,Prescribed burn,270239505001.0,23.0,-95.565,45.085,27023,CHIPPEWA,Grace,Southwest
27023PF1447723-64327,Prescribed burn,Prescribed burn,270239505002.0,23.0,-95.888,45.072,27023,CHIPPEWA,Big Bend,Southwest
27023PF1447734-64327,Prescribed burn,Prescribed burn,270239504003.0,23.0,-95.402,44.942,27023,CHIPPEWA,Crate,Southwest
27023PF1447736-64327,Prescribed burn,Prescribed burn,270239505002.0,23.0,-95.807,45.072,27023,CHIPPEWA,Big Bend,Southwest
27023PF1447754-64327,Prescribed burn,Prescribed burn,270239505002.0,23.0,-95.888,45.072,27023,CHIPPEWA,Big Bend,Southwest
27023PF1447756-64327,Prescribed burn,Prescribed burn,270239505002.0,23.0,-95.909,45.072,27023,CHIPPEWA,Big Bend,Southwest
27023PF1748278-64328,Prescribed burn,Prescribed burn,270239503001.0,23.0,-95.565,44.899,27023,CHIPPEWA,Leenthrop,Southwest
27023PF1785997-64320,Prescribed burn,Prescribed burn,270239505002.0,23.0,-95.849,45.144,27023,CHIPPEWA,Big Bend,Southwest
27023PF1791719-64320,Prescribed burn,Prescribed burn,270239505001.0,23.0,-95.715,45.012,27023,CHIPPEWA,Grace,Southwest
27023PF1794695-64319,Prescribed burn,Prescribed burn,270239504003.0,23.0,-95.396,45.065,27023,CHIPPEWA,Crate,Southwest
27023PF1797538-64319,Prescribed burn,Prescribed burn,270239505002.0,23.0,-95.942,45.092,27023,CHIPPEWA,Big Bend,Southwest
27023PF1798752-64319,Prescribed burn,Prescribed burn,270239504003.0,23.0,-95.248,45.022,27023,CHIPPEWA,Crate,Southwest
27023PF1798768-64319,Prescribed burn,Prescribed burn,270239505001.0,23.0,-95.329,45.119,27023,CHIPPEWA,Grace,Southwest
27025PF1794687-64319,Prescribed burn,Prescribed burn,270251105021.0,25.0,-92.794,45.359,27025,CHISAGO,Franconia,Central
27025PF1796183-64319,Prescribed burn,Prescribed burn,270251102004.0,25.0,-92.923,45.615,27025,CHISAGO,Sunrise,Central
27027PF1447253-64328,Prescribed burn,Prescribed burn,270270302011.0,27.0,-96.368,46.991,27027,CLAY,Spring Prairie,Northwest
27027PF1447303-64327,Prescribed burn,Prescribed burn,270270302011.0,27.0,-96.357,47.003,27027,CLAY,Spring Prairie,Northwest
27027PF1447324-64327,Prescribed burn,Prescribed burn,270270302023.0,27.0,-96.47,46.78,27027,CLAY,Elkton,Northwest
27027PF1447330-64327,Prescribed burn,Prescribed burn,270270302011.0,27.0,-96.446,47.054,27027,CLAY,Spring Prairie,Northwest
27027PF1447371-64327,Prescribed burn,Prescribed burn,270270302024.0,27.0,-96.312,46.785,27027,CLAY,Parke,Northwest
27027PF1447372-64327,Prescribed burn,Prescribed burn,270270302012.0,27.0,-96.264,46.932,27027,CLAY,Hitterdal,Northwest
27027PF1447675-64327,Prescribed burn,Prescribed burn,270270302012.0,27.0,-96.292,46.914,27027,CLAY,Hitterdal,Northwest
27027PF1447730-64327,Prescribed burn,Prescribed burn,270270302013.0,27.0,-96.418,47.1,27027,CLAY,Hagen,Northwest
27027PF1447758-64326,Prescribed burn,Prescribed burn,270270302024.0,27.0,-96.29,46.711,27027,CLAY,Parke,Northwest
27027PF1447797-64320,Prescribed burn,Prescribed burn,270270302023.0,27.0,-96.355,46.754,27027,CLAY,Elkton,Northwest
27027PF1698943-64332,Prescribed burn,Prescribed burn,270270302012.0,27.0,-96.255,46.949,27027,CLAY,Hitterdal,Northwest
27027PF1748081-64328,Prescribed burn,Prescribed burn,270270302024.0,27.0,-96.285,46.771,27027,CLAY,Parke,Northwest
27027PF1751115-64327,Prescribed burn,Prescribed burn,270270302011.0,27.0,-96.387,46.949,27027,CLAY,Spring Prairie,Northwest
27027PF1779760-64321,Prescribed burn,Prescribed burn,270270302023.0,27.0,-96.532,46.77,27027,CLAY,Elkton,Northwest
27027PF1783209-64320,Prescribed burn,Prescribed burn,270270302013.0,27.0,-96.207,47.065,27027,CLAY,Hagen,Northwest
27027PF1783212-64320,Prescribed burn,Prescribed burn,270270302024.0,27.0,-96.249,46.808,27027,CLAY,Parke,Northwest
27027PF1783232-64320,Prescribed burn,Prescribed burn,270270302011.0,27.0,-96.443,46.963,27027,CLAY,Spring Prairie,Northwest
27027PF1784499-64320,Prescribed burn,Prescribed burn,270270302011.0,27.0,-96.302,46.842,27027,CLAY,Spring Prairie,Northwest
