COPC Name                                              ,CAS #      ,MW [g/mole],Tm [K] ,Vp [atm]    ,S [mg/L] ,H [atm*m^3/mol],Da [cm^2/s],Dw [cm^2/s],Kow         ,Koc [mL/g] ,Kds [cm^3/g],Kdsw [L/kg],Kdbs [cm^3/g],Ksg [1/year],Fv         ,RCF         ,Br root veg ,Br leafy veg   ,Br forage      ,Bv leafy veg,Bv forage   ,Ba milk [day/kg FW],Ba beef [day/kg FW],Ba pork [day/kg FW],BCF egg    ,BCF chicken,BCF Fish [L/kg FW tissue],BAF fish [L/kg FW],BSAF fish,RfD [mg/kg/day],Oral CSF [mg/kg/day]-1,RFC [mg/m^3],Inhalation URF [1/(µg/m^3)],Inhalation CSF [1/(mg/kg/day/)],Chemical type,Chemical Subtype,Br Grain   ,Ba egg     ,Ba chicken ,Inhalation RFD,TEF,FACTIVE
Benzene                                                ,71-43-2    ,78.1,279,0.125,1800,0.0056,0.088,0.0000102,126,61.7,0.12,4.63,2.47,15.8,1,9.62,80.1,2.37,2.37,0.00172,0.00172,0.000712,0.00338,0.00409,0.00109,           ,8.26,                  ,         ,0.004,0.055,0.03,0.0000078,                               ,O            ,                ,2.37,0.00142,0.00249,              ,   ,T      
Benzidine,92-87-5,184.24,394,0.00000786,3765,5.78E-11,0.0351,0.00000748,22,1190,,89.25,47.6,,1,,,,,6.43,6.43,0.000000173,0.000000547,,,,3.56,,,0.003,230,,,,,,,,,,,
Benzo(a)Anthracene                                     ,56-55-3    ,228,357,1.45E-10,0.0094,0.0000034,0.051,0.000009,501000,358000,60000,26900,14300,0.37,0.483,5690,0.0948,0.0197,0.0197,19300,19300,0.00841,0.0399,0.0483,3.79,           ,4890,49900,         ,               ,0.34,            ,0.00036,                               ,O            ,PAH             ,0.0197,0.0168,0.0294,              ,   ,T      
Benzo(a)Fluoranthene,203-33-8,252,441,1.06E-10,0.002,0.00000081,0.0228,0.00000549,1290000,600000,8360,62700,33400,0.415,0.9412,13900,1.66,0.0101,0.0101,36500,36500,0.0127,0.04,0.0484,12.7,           ,9930,9950,         ,               ,0.28,            ,0.00054,                               ,O            ,PAH             ,0.0115,0.0154,0.0269,              ,   ,T      
Benzo(a)Pyrene                                         ,50-32-8    ,252,453,7.24E-12,0.0016,0.0000011,0.043,0.000009,1000000,969000,160000,72700,38800,0.48,0.294,9680,0.0605,0.0132,0.0132,125000,125000,0.00791,0.0376,0.0455,10.7,           ,961.6,1165,         ,               ,1.7,            ,0.0018,                               ,O            ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
Benzo[c]Phenanthrene,195-19-7,228,409,2E-12,0.02635,0.000005,,,330000,180000,8360,62700,33400,0.415,0.608,13900,1.66,0.0101,0.0101,36500,36500,0.0127,0.04,0.0484,12.7,           ,1364,1993,,,,,,,,,,,,,,
Benzo(b)Fluoranthene                                   ,205-99-2   ,252,441,6.58E-10,0.0015,0.000111,0.001,0.00001,1330000,1050000,10500,78600,41900,0.41,0.966,12100,1.15,0.0112,0.0112,1680,1680,0.00762,0.0362,0.0438,12.7,           ,10400,206000,         ,               ,1.4,            ,0.0014,                               ,O            ,PAH             ,0.0112,0.0152,0.0267,              ,   ,T      
Benzo(E)Pyrene                                        ,192-97-2   ,252,451,2.54E-11,0.00564,0.00000081,0.043,0.000009,2800000,599000,160000,44925,23960,0.48,0.294,9680,0.0605,0.0132,0.0132,125000,125000,0.00791,0.0376,0.0455,10.7,           ,8320,133000,         ,               ,                    ,            ,                           ,                               ,O            ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
"Benzo(G,H,I)Fluoranthene",203-12-3   ,226.28,427,1.8465E-11,0.005805,0.000000815,0.0243,0.00000778,1275000,795500,10500,59662.5,31830,0.12,0.3755,12100,1.15,0.0112,0.0112,105500.0055,105500.0055,0.00894,0.03435,0.0438,12.7,           ,7460,177000,         ,               ,                    ,            ,                           ,                               ,O            ,PAH             ,0.0115,0.0154,0.0269,              ,   ,T      
"Benzo(G,H,I)Perylene",191-24-2   ,276.33,551,1.31E-13,0.00026,0.000000266,0.0448,0.00000523,4270000,1950000,160000,146250,78000,0.48,0.294,9680,0.0605,0.0132,0.0132,0.0055,0.0055,0.0337,0.101,0.0455,10.7,           ,11000,133000,         ,               ,0.015,            ,0.000016,                               ,O            ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
Benzo(B+K)Fluoranthene,E17133943 ,252,441,1.06E-10,0.00433,0.00000618,0.0228,0.00000549,1590000,836000,8360,62700,33400,0.415,0.822,13900,1.66,0.0101,0.0101,36500,36500,0.0127,0.04,0.0484,12.7,           ,9930,9950,         ,               ,0.28,            ,0.00054,                               ,O            ,PAH             ,0.0115,0.0154,0.0269,              ,   ,T      
Benzo(J)Fluoranthene,205-82-3   ,252.32,443,3.43E-11,0.01081,0.0000008,0.0476,0.00000556,1290000,599000,190000,44925,23960,0.12,0.478,12100,1.15,0.0112,0.0112,0.011,0.011,0.0102,0.0322,0.0438,12.7,           ,4990,177000,         ,               ,0.5,            ,0.00054,                               ,O            ,PAH             ,0.0115,0.0154,0.0269,              ,   ,T      
Benzo(k)Fluoranthene                                   ,207-08-9   ,252,493,2.63E-12,0.0008,0.00000083,0.001,0.00001,1260000,992000,190000,74400,39700,0.12,0.273,11600,0.0609,0.0115,0.0115,211000,211000,0.00768,0.0365,0.0442,12.6,           ,9930,177000,         ,               ,0.051,            ,0.000054,                               ,O            ,PAH             ,0.0115,0.0154,0.0269,              ,   ,T      
"Benzofluoranthenes, Unspeciated",56832-73-6 ,252,441,1.06E-10,0.00433,0.00000618,0.0228,0.00000549,1590000,836000,8360,62700,33400,0.415,0.822,13900,1.66,0.0101,0.0101,36500,36500,0.0127,0.04,0.0484,12.7,           ,9930,9950,         ,               ,0.28,            ,0.00054,                               ,O            ,PAH             ,0.0115,0.0154,0.0269,              ,   ,T      
Benzyl chloride                                        ,100-44-7   ,127,234,0.00172,525,0.000415,0.075,0.0000078,200,182,1.82,13.7,7.3,20.9,1,13.7,7.51,1.81,1.81,0.0379,0.0379,0.000954,0.00453,0.00548,0.0000183,           ,11.8,                  ,         ,0.002,0.17,0.001,0.000049,                               ,O            ,                ,1.81,0.00191,0.00334,              ,   ,T      
Beryllium                                              ,7440-41-7  ,9.01,1570,0,149000,0.015,0.0772,0.00000957,0.269,           ,790,790,790,            ,0,            ,0.0015,0.00258,0.01,            ,            ,0.0000009,0.001,                   ,           ,           ,62,                  ,         ,0.002,,0.00002,0.0024,                               ,I            ,Metal           ,0.0015,           ,           ,              ,   ,T      
Biphenyl,92-52-4    ,154,342,0.0000118,6.94,0.000262,0.0661,0.00000765,9550,8180,81.8,613,327,36.1,1,270,3.3,0.194,0.194,3.69,3.69,0.0054,0.0257,0.0311,           ,           ,232,                  ,         ,0.5,0.008,            ,                           ,                               ,O            ,                ,0.194,0.0108,0.0189,              ,   ,T      
Bis(2-chlorethyl)ether                                 ,111-44-4   ,143.013,226.35,0.00204,17200,0.000018,0.0413,0.00000949,19.498446,75.9,0.76,5.69,3.04,1.41,1,8.6,11.3,6.96,6.96,0.0734,0.0734,0.000180973,0.000859622,0.001040595,0.000158866,           ,1.96,                  ,         ,               ,1.1,            ,0.00033,                               ,O            ,                ,6.96,0.000361946,0.000633406,              ,   ,T      
Bromoform (Tribromomethane)                            ,75-25-2    ,253,281,0.00725,3100,6.5,0.0149,0.0000103,234,126,1.26,9.45,5.04,1.41,1,15.5,12.3,1.65,1.65,0.00000287,0.00000287,0.00105,0.005,0.00605,0.00178,           ,13.3,                  ,         ,0.02,0.00793,            ,0.0000011,                               ,O            ,                ,1.65,0.0021,0.00368,              ,   ,T      
"Butadiene 1,3-             ",106-99-0   ,54.1,164,2.78,735,0.204,0.133,0.0000154,97.7,45.1,0.451,3.38,1.8,8.43,1,14.2,31.5,2.74,2.74,0.000036,0.000036,0.000602,0.00286,0.00346,           ,           ,6.8,                  ,         ,               ,3.4,0.002,0.0000588,                               ,O            ,                ,2.74,0.0012,0.00211,              ,   ,T      
Butyl Carbitol Acetate                            ,124-17-4   ,204.27,298,0.0000465,2343,0.000000099,           ,           ,20,12.27,            ,0.92025,0.4908,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,2,                  ,         ,               ,                    ,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Butyl Cellosolve,111-76-2,118.18,196,0.00105,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butylbenzylphthalate                                   ,85-68-7    ,312,238,1.09E-08,2.7,0.0000013,0.001,0.00001,79400,13700,8700,1030,548,36.1,0.948,1380,0.158,0.057,0.057,7110,7110,0.00809,0.0384,0.0465,0.206,           ,1180,3290,         ,0.2,0.0019,            ,                           ,                               ,O            ,PH              ,0.057,0.0162,0.0283,              ,   ,T      
Cadmium                                                ,7440-43-9  ,112.4,593.15,5.45E-12,123000,0.031,0.0772,0.00000957,0.851138038,           ,75,75,75,0.00000253,0.009,            ,0.064,0.125,0.364,            ,            ,0.0000065,0.00012,0.000191489,0.0025,           ,907,                  ,         ,0.001,                    ,0.00002,0.0018,                               ,I            ,Metal           ,0.062,0.0025,0.10625,              ,   ,T      
Carbitol Acetate                                   ,112-15-2   ,176.21,275.9,0.000186,30890,               ,0.057,0.00000798,2.089,4.54,            ,0.3405,0.1816,            ,1,            ,            ,               ,               ,17.5,17.5,3.07E-08,9.73E-08,                   ,           ,           ,3.16,                  ,         ,               ,                    ,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Carbon Disulfide                                       ,75-15-0    ,76.1,153,0.474,1200,0.03,0.104,0.00001,158,66.2,0.091,4.96,2.65,            ,1,11.5,126,2.07,2.07,0.00041,0.00041,0.000826,0.00392,0.00475,0.000794,           ,9.86,                  ,         ,0.1,                    ,0.7,                           ,                               ,O            ,                ,2.07,0.00165,0.00289,              ,   ,T      
Carbon Monoxide                                 ,630-08-0   ,28.01,134,11.43,49700,0.000563,0.173,0.0000179,2.5,2.22,            ,0.1665,0.0888,            ,1,            ,            ,               ,               ,22.6,22.6,1.98E-08,6.28E-08,                   ,           ,           ,3.16,                  ,         ,               ,                    ,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Carbon Monoxide_2013_point                   ,630-08-0-2013,28.01,134,11.43,49700,0.000563,0.173,0.0000179,2.5,2.22,            ,0.1665,0.0888,            ,1,            ,            ,               ,               ,22.6,22.6,1.98E-08,6.28E-08,                   ,           ,           ,3.16,                  ,         ,               ,                    ,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Carbon Tetrachloride                                   ,56-23-5    ,154,250,0.158,790,0.03,0.078,0.0000088,631,152,0.35,11.4,6.08,0.7,1,33.3,95.1,0.932,0.932,0.00179,0.00179,0.00183,0.00868,0.0105,0.00414,           ,28.6,                  ,         ,0.004,0.07,0.1,0.000006,                               ,O            ,                ,0.932,0.00366,0.0064,              ,   ,T      
Carbonyl Sulfide                                   ,463-58-1   ,60.07,171.29,10.79,1000000,0.0492,           ,           ,0.0468,0.9123,            ,0.0684225,0.036492,            ,1,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,               ,                    ,            ,                           ,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Catechol,120-80-9   ,110,378,0.0000395,461000,9.43E-09,0.0827,0.00000958,7.59,7.33,0.0733,0.55,0.293,36.1,1,7.41,101,12,12,51.3,51.3,0.0000807,0.000383,0.000464,           ,           ,3.16,                  ,         ,               ,,            ,                           ,                               ,O            ,                ,12,0.000161,0.000283,              ,   ,T      
Cellosolve,110-80-5   ,90.1,203,0.00699,1000000,0.00000063,0.0945,0.0000109,0.479,0.485,0.00485,0.0364,0.0194,8.43,1,6.44,1330,59.3,59.3,0.0405,0.0405,0.00000489,0.0000232,0.0000281,           ,           ,3.16,                  ,         ,0.09,                    ,0.2,                           ,                               ,O            ,                ,59.3,0.00000978,0.0000171,              ,   ,T      
Chlorine                                               ,7782-50-5  ,70.9,172,7.7,6300,0.0117,0.001,0.00001,7.08,13.22,            ,0.9915,0.5288,            ,1,7.36,            ,8.38,8.38,            ,            ,0.0000759,0.00036,0.000436,           ,           ,3.16,                  ,         ,0.1,                    ,0.0002,                           ,                               ,I            ,                ,8.38,0.000152,0.000266,              ,   ,T      
Chloroacetophenone 2-,532-27-4   ,155,330,0.00000711,1640,0.00000067,0.066,0.00000764,85.1,79,0.79,5.92,3.16,3.37,1,13.4,17,2.97,2.97,9.48,9.48,0.000548,0.0026,0.00315,           ,           ,6.11,                  ,         ,               ,                    ,0.00003,                           ,                               ,O            ,                ,2.97,0.0011,0.00192,              ,   ,T      
Chlorobenzene                                          ,108-90-7   ,113,228,0.0158,470,0.0037,0.073,0.0000087,631,224,0.44,16.8,8.96,1.69,1,33.3,75.6,0.932,0.932,0.0145,0.0145,0.00183,0.00868,0.0105,0.00489,           ,28.6,                  ,         ,0.02,                    ,1,                           ,                               ,O            ,                ,0.932,0.00366,0.0064,              ,   ,T      
Chloroethane                                           ,75-00-3    ,64.5,133,1.32,5700,0.0088,0.271,0.0000115,25.1,15.4,0.032,1.15,0.62,9.03,1,9.09,284,6.01,6.01,0.000197,0.000197,0.000222,0.00105,0.00128,0.01,           ,2.39,                  ,         ,               ,                    ,10,                           ,                               ,O            ,                ,6.01,0.000444,0.000776,              ,   ,T      
Chloroform (Trichloromethane)                          ,67-66-3    ,119,209,0.263,7900,0.0037,0.104,0.00001,100,52.5,0.08,3.94,2.1,1.41,1,8.05,101,2.7,2.7,0.00204,0.00204,0.000611,0.0029,0.00351,0.000707,           ,6.92,                  ,         ,0.01,0.032,0.3,0.000023,                               ,O            ,                ,2.7,0.00122,0.00214,              ,   ,T      
"Chloronaphthalene,2-                                   ",91-58-7    ,163,333,0.0000105,11.7,0.000314,0.001,0.00001,2400,2100,21,158,84.1,5.27,1,93,4.42,0.431,0.431,0.708,0.708,0.00337,0.016,0.0194,0.0933,           ,79.9,69.3,         ,0.08,                    ,            ,                           ,                               ,O            ,PAH             ,0.431,0.00674,0.0118,              ,   ,T      
Chloroprene,126-99-8   ,88.5,143,0.284,875,0.0288,0.0956,0.0000111,339,121,1.21,9.06,4.83,8.43,1,20.6,17.1,1.34,1.34,0.000962,0.000962,0.0013,0.0062,0.0075,           ,           ,17.7,                  ,         ,,                    ,0.02,0.0003,                               ,O            ,                ,1.34,0.00261,0.00457,              ,   ,T      
Chromium (III)                                         ,16065-83-1 ,52,2170,0,         ,0,0.136,0.0000158,0,           ,19,19,19,0.00000253,0,            ,0.0045,0.00488,0.0075,            ,            ,0.0015,0.0055,                   ,           ,           ,3,                  ,         ,1.5,                    ,            ,                           ,                               ,I            ,Metal           ,0.0075,           ,           ,              ,   ,T      
"Chromium, Hexavalent                                   ",18540-29-9 ,52,2170,0,         ,0,0.136,0,1,           ,19,19,19,0.00000253,0,            ,0.0045,0.00488,0.0075,            ,            ,0.0015,0.0055,                   ,           ,           ,3.16,                  ,         ,0.003,0.5,0.000008,0.012,                               ,I            ,Metal           ,0.0045,           ,           ,              ,   ,T      
Chrysene                                               ,218-01-9   ,228,533,8.16E-12,0.0063,0.000095,0.001,0.00001,501000,401000,60000,30100,16000,0.25,0.744,5690,0.0948,0.0197,0.0197,692,692,0.00841,0.0399,0.0483,4.36,           ,4890,49900,         ,               ,0.17,            ,0.00018,                               ,O            ,PAH             ,0.0197,0.0168,0.0294,              ,   ,T      
Methylchrysenes,41637-90-5,242.32,422.4,7.14E-10,0.0133,0.00000553,0.0489,0.00000566,1170000,290000,9270,69500,37100,2.11,0.848,11000,1.18,0.012,0.012,125000,125000,0.00775,0.0368,0.0446,4.36,,764.6,1002,,,1.7,,0.0018,                               ,O            ,PAH             ,0.012,0.0155,0.0271,              ,   ,T      
Cobalt,7440-48-4  ,58.9,1770,5.5E-12,87500,0,0.126,0,1.7,13.2,            ,0.99,0.528,0.00000253,0,            ,0.007,               ,0.02,0.02,0.02,                   ,0.02,                   ,           ,           ,0.9812,0.9812,         ,0.0003,                    ,0.000006,0.009,                               ,I            ,Metal           ,           ,           ,           ,              ,   ,T      
Copper,7440-50-8  ,64,1370,0,10000,0,0.119,0,0.269,13.2,            ,0.99,0.528,0.00000253,0,            ,            ,               ,               ,            ,            ,                   ,                   ,                   ,           ,           ,                         ,                  ,         ,,                    ,            ,                           ,                               ,I            ,Metal           ,           ,           ,           ,              ,   ,T      
Cresol Mixed Isomers                               ,1319-77-3  ,109,294,0.000224,9070,0.00000269,0.0832,0.00000963,89.1,82.6,0.826,6.2,3.31,8.43,1,13.7,16.6,2.89,2.89,2.48,2.48,0.000565,0.00268,0.00325,           ,           ,6.33,                  ,         ,,                    ,0.6,                           ,                               ,O            ,                ,2.89,0.00113,0.00198,              ,   ,T      
Cumene (Isopropylbenzene)                              ,98-82-8    ,120,177,0.00592,61,1.2,0.065,0.0000071,5010,1020,600,76.5,40.8,31.6,1,164,0.273,0.281,0.281,0.000406,0.000406,0.00442,0.021,0.0254,0.0326,           ,141,                  ,         ,0.1,                    ,0.4,                           ,                               ,O            ,                ,0.281,0.00885,0.0155,              ,   ,T      
Cyanide,57-12-5    ,26.02,       ,0.408,95400,0.024,0.001,0.00001,0.204173794,0.34,9.9,0.03,0.014,            ,1,6.39,0.646,8.38,8.38,0.000000429,0.000000429,0.00000191,0.00000907,0.000011,           ,           ,3.16,                  ,         ,0.0006,                    ,0.003,                           ,                               ,O            ,                ,8.38,0.00000382,0.00000668,              ,   ,T      
Cyclohexane,110-82-7,84.16,191.28,0.123,43.02,0.255,0.08,0.00000911,1513.6,145.8,,10.935,5.832,,1,,,,,0.389,0.389,0.0000218,0.0000689,,,,0.83,,,,,,,,,,,,,,,
"Decachlorobiphenyl (PCB, 209)",2051-24-3,498.66,473.37,1.34E-13,0.0000632,0.000002,,,186000000,440000,,33000,17600,,0.9874,,,,,,,,,,,,,,,,,,,,,PCB             ,,,,,,
"Dibenzo(a,h)Anthracene                                  ",53-70-3    ,278,543,1.32E-13,0.0025,0.000000015,0.001,0.00001,3160000,1790000,580000,134000,71600,0.27,0.055,23500,0.0405,0.00678,0.00678,31200000,31200000,0.00652,0.031,0.0375,28,           ,20200,497000,         ,               ,17,            ,0.018,                               ,O            ,PAH             ,0.00678,0.013,0.0228,              ,   ,T      
Dibenzo(AE)Pyrene                                           ,192-65-4   ,302.38,489.15,9.3E-14,0.00024,0.000000014,0.0422,0.00000493,19054607.18,4910000,49100,368250,196400,0.48,0.012,93682.10653,1.907985876,0.002399717,0.002399717,226192136.6,226192136.6,0.00384431,0.018260472,0.022104782,3.79,           ,26693.16064,133000,         ,               ,0.68,            ,0.00072,                               ,             ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
Dibenzo(AH)Acridine,226-36-8,279.34,469,1.04E-12,0.016,427000,0.0445,0.0000052,537000,1910000,939,143250,76400,0.48,0.122,5394.5677,5.745013525,0.020452199,0.020452199,0.0183,0.00366,0.00424,0.0134,0.0455,10.7,,107,133000,,,,,0.00018,,O            ,PAH             ,0.0132,0.0158,0.0277,,,
Dibenzo(AH)Pyrene                                           ,189-64-0   ,302.38,489.15,8.44E-15,0.000554,1.41E-08,0.0422,0.00000493,19054607.18,2080000,20800,156000,83200,0.48,0.0011,93682.10653,4.503947429,0.002399717,0.002399717,224587937,224587937,0.00384431,0.018260472,0.022104782,10.7,           ,26693.16064,133000,         ,               ,1.5,            ,0.0016,                               ,             ,PAH             ,0.0132,0.0158,0.0277,              ,   ,T      
