SCC Code,Data Category Code,Short Desc,Level 1 Desc,Level 2 Desc,Level 3 Desc,Level 4 Desc,EI Sector
2701411000,BIOGENIC,Biogenic - Urban or Built-Up Land/Residential (Anderson Land Use Code 11) - Total,Natural Sources,Biogenic,Urban or Built-Up Land/Residential (Anderson Land Use Code 11),Total,Miscellaneous Non-Industrial NEC
2701414000,BIOGENIC,"Biogenic - Urban or Built-Up Land/Transportation, Communications (Anderson LUC14) - Total",Natural Sources,Biogenic,"Urban or Built-Up Land/Transportation, Communications (Anderson LUC14)",Total,Miscellaneous Non-Industrial NEC
2701200000,BIOGENIC,Biogenic - Vegetation - Total,Natural Sources,Biogenic,Vegetation,Total,Miscellaneous Non-Industrial NEC
2701220001,BIOGENIC,Biogenic - Vegetation/Agriculture - Alfalfa,Natural Sources,Biogenic,Vegetation/Agriculture,Alfalfa,Miscellaneous Non-Industrial NEC
2701220999,BIOGENIC,Biogenic - Vegetation/Agriculture - All Other Crops,Natural Sources,Biogenic,Vegetation/Agriculture,All Other Crops,Miscellaneous Non-Industrial NEC
2701220002,BIOGENIC,Biogenic - Vegetation/Agriculture - Barley/Cotton/Oats/Rye/Misc.,Natural Sources,Biogenic,Vegetation/Agriculture,Barley/Cotton/Oats/Rye/Misc.,Miscellaneous Non-Industrial NEC
2701220003,BIOGENIC,Biogenic - Vegetation/Agriculture - Corn,Natural Sources,Biogenic,Vegetation/Agriculture,Corn,Miscellaneous Non-Industrial NEC
2701220004,BIOGENIC,Biogenic - Vegetation/Agriculture - Peanuts/Rice,Natural Sources,Biogenic,Vegetation/Agriculture,Peanuts/Rice,Miscellaneous Non-Industrial NEC
2701220005,BIOGENIC,Biogenic - Vegetation/Agriculture - Potato,Natural Sources,Biogenic,Vegetation/Agriculture,Potato,Miscellaneous Non-Industrial NEC
2701220006,BIOGENIC,Biogenic - Vegetation/Agriculture - Sorghum,Natural Sources,Biogenic,Vegetation/Agriculture,Sorghum,Miscellaneous Non-Industrial NEC
2701220007,BIOGENIC,Biogenic - Vegetation/Agriculture - Soybeans,Natural Sources,Biogenic,Vegetation/Agriculture,Soybeans,Miscellaneous Non-Industrial NEC
2701220008,BIOGENIC,Biogenic - Vegetation/Agriculture - Tobacco,Natural Sources,Biogenic,Vegetation/Agriculture,Tobacco,Miscellaneous Non-Industrial NEC
2701220000,BIOGENIC,Biogenic - Vegetation/Agriculture - Total,Natural Sources,Biogenic,Vegetation/Agriculture,Total,Miscellaneous Non-Industrial NEC
2701220009,BIOGENIC,Biogenic - Vegetation/Agriculture - Wheat,Natural Sources,Biogenic,Vegetation/Agriculture,Wheat,Miscellaneous Non-Industrial NEC
2701290000,BIOGENIC,Biogenic - Vegetation/Alpine Meadows - Total,Natural Sources,Biogenic,Vegetation/Alpine Meadows,Total,Miscellaneous Non-Industrial NEC
2701250000,BIOGENIC,Biogenic - Vegetation/Desert Scrub - Total,Natural Sources,Biogenic,Vegetation/Desert Scrub,Total,Miscellaneous Non-Industrial NEC
2701240000,BIOGENIC,Biogenic - Vegetation/Grassland - Total,Natural Sources,Biogenic,Vegetation/Grassland,Total,Miscellaneous Non-Industrial NEC
2701260000,BIOGENIC,Biogenic - Vegetation/Scrubland - Total,Natural Sources,Biogenic,Vegetation/Scrubland,Total,Miscellaneous Non-Industrial NEC
2701270000,BIOGENIC,Biogenic - Vegetation/Tropical Savannah - Total,Natural Sources,Biogenic,Vegetation/Tropical Savannah,Total,Miscellaneous Non-Industrial NEC
2701280000,BIOGENIC,Biogenic - Vegetation/Urban Vegetation - Total,Natural Sources,Biogenic,Vegetation/Urban Vegetation,Total,Miscellaneous Non-Industrial NEC
2701450000,BIOGENIC,Biogenic - Water - Total,Natural Sources,Biogenic,Water,Total,Miscellaneous Non-Industrial NEC
2701454000,BIOGENIC,Biogenic - Water/Bays and Estuaries (Anderson Land Use Code 54) - Total,Natural Sources,Biogenic,Water/Bays and Estuaries (Anderson Land Use Code 54),Total,Miscellaneous Non-Industrial NEC
2701452000,BIOGENIC,Biogenic - Water/Lakes (Anderson Land Use Code 52) - Total,Natural Sources,Biogenic,Water/Lakes (Anderson Land Use Code 52),Total,Miscellaneous Non-Industrial NEC
2701453000,BIOGENIC,Biogenic - Water/Reservoirs (Anderson Land Use Code 53) - Total,Natural Sources,Biogenic,Water/Reservoirs (Anderson Land Use Code 53),Total,Miscellaneous Non-Industrial NEC
2701451000,BIOGENIC,Biogenic - Water/Streams and Canals (Anderson Land Use Code 51) - Total,Natural Sources,Biogenic,Water/Streams and Canals (Anderson Land Use Code 51),Total,Miscellaneous Non-Industrial NEC
2701460000,BIOGENIC,Biogenic - Wetlands - Total,Natural Sources,Biogenic,Wetlands,Total,Miscellaneous Non-Industrial NEC
